Star number,Magnitude,Color(B-V)
133,14.4,1.28
165,7.6,0.12
345,11.6,0.84
522,11.9,0.9
697,8.6,0.35
804,7.9,0.2
950,4.2,-0.1
1040,15.8,1.44
1103,14.8,1.47
1234,6.8,0.02
1266,8.3,0.36
1305,13.5,1.18
1309,9.5,0.47
1355,14,1.23
1432,2.9,-0.09
1454,12.8,1.16
1516,14,1.31
1766,9.1,0.47
1797,10.1,0.56
1924,10.3,0.62
2168,3.6,-0.08
2181,5.1,-0.08
2209,14.4,1.47
2406,11.1,0.76
2425,6.2,-0.05
2588,13.1,1.22
2601,15,1.55
2655,15.5,1.36
2870,12.5,1.07
2881,11.8,0.86
